Node	i	random seed	alpha	beta	sigma	S	tauR	tauG	tauD	nLL
1	10	53760301	33.842539	1.821676	35.723187	2368.22093	0.33628	0.001002	0.226118	10294.16897
1	39	108277314	27.732922	1.591474	34.800283	2011.468216	0.302435	0.001989	0.138663	10286.14759
1	31	86752778	36.471195	1.441634	32.582052	1577.378272	0.278593	0.011944	0.108379	10284.73388
1	8	93374422	43.312649	1.221037	31.06358	1105.828573	0.196415	0.055876	0.067557	10268.25891
1	35	71677778	36.963706	1.429769	38.157472	1045.251156	0.116763	0.098397	0.110848	10250.24184
1	1	92664352	36.465509	1.562759	37.064571	587.574625	0.0548	0.116466	0.136964	10247.30525
1	9	98232523	42.653875	1.174315	34.028581	1129.821228	0.138937	0.121013	0.068391	10244.19914
1	27	35322917	40.235863	1.216789	34.522529	1010.827681	0.138099	0.101242	0.064831	10243.8489
1	4	92975000	40.460243	1.216492	34.215357	962.273035	0.125764	0.111522	0.06188	10242.71966
1	6	93175000	22.814143	1.387055	38.974938	1069.657249	0.156164	0.09609	0.041498	10240.83538
1	11	85267709	39.586679	1.182691	33.344923	1433.068516	0.204868	0.092588	0.058064	10240.16893
1	40	44709260	68.013355	0.851216	25.984492	1644.384446	0.287032	0.23549	0.050259	10240.00366
1	36	34419791	45.131026	1.154288	29.382498	947.078825	0.119285	0.219792	0.030358	10239.53774
1	34	105277662	28.837244	1.317134	36.921669	1593.730051	0.226171	0.079002	0.06365	10238.73643
1	20	48665740	63.168143	0.91506	22.238177	1227.176305	0.174128	0.487915	0.055635	10238.67515
1	14	73424074	28.817559	1.32061	38.223447	1225.644156	0.138946	0.144536	0.042913	10234.16184
1	23	55770023	36.483442	1.323636	34.279131	617.828706	0.057402	0.177644	0.058359	10231.92053
1	28	23661575	30.022605	1.21948	31.684382	1752.467912	0.285623	0.141391	0.00592	10231.19515
1	16	103469791	27.751633	1.370235	38.981431	1435.829565	0.164525	0.131136	0.058904	10231.11371
1	15	100656482	24.923677	1.351577	34.881878	1745.350807	0.277165	0.120211	0.028144	10228.89808
1	7	93275347	19.618919	1.380867	36.466918	2205.519197	0.312162	0.104899	0.045164	10226.64359
1	12	72211227	23.518479	1.808996	43.479843	759.572794	0.055027	0.137848	0.116054	10217.84522
1	19	33518287	7.118912	1.838927	48.270308	1318.843068	0.149726	0.089429	0.099316	10215.50348
1	2	92774884	6.516854	1.724767	44.041499	1174.394798	0.158945	0.07784	0.072191	10213.0129
1	24	35317939	0.000238	1.808493	32.798744	807.523874	0.181058	0.076353	0.043223	10196.62395
1	22	58583565	0.003109	2.191371	46.458559	753.448325	0.028771	0.181196	0.049975	10186.49215
1	30	102000232	6.970943	1.804816	40.283938	502.666039	0.045742	0.1522	0.024927	10173.27658
1	3	92874652	1.784069	2.172032	45.465154	797.457795	0.067022	0.113949	0.091485	10173.14033
1	5	93074537	3.103501	1.706824	32.97966	213.135126	0.036603	0.062125	0.054982	10172.14871
1	38	103806712	11.06232	1.466575	35.146831	292.132281	0.029178	0.123209	0.015166	10167.49113
1	32	24256018	0.000121	1.807635	38.415687	623.068527	0.096199	0.104887	0.032742	10158.18033
